head,relation,tail
zzy-229@627-s8q-v2k,POI_RegionOf,mhtr165
222-222@627-s8j-kcq,POI_RegionOf,mhtr118
23f-222@627-s8r-k2k,POI_RegionOf,mhtr134
22f-225@627-s8j-435,POI_RegionOf,mhtr24
238-222@627-s4r-wx5,POI_RegionOf,mhtr26
mhtr0,Region_Nearby,mhtr47
mhtr47,Region_Nearby,mhtr0
mhtr0,Region_Nearby,mhtr62
mhtr62,Region_Nearby,mhtr0
mhtr0,Region_Nearby,mhtr110
zzw-228@627-s8j-mff,POI_Cate1Of,91
22x-222@627-s8h-vcq,POI_Cate1Of,196
27m-222@627-s8j-y35,POI_Cate1Of,191
22h-228@627-s8j-d5f,POI_Cate1Of,33
23m-223@627-wc7-2tv,POI_Cate1Of,198
j87,Junction_JCateOf,jc0
j784,Junction_JCateOf,jc0
j954,Junction_JCateOf,jc0
j1293,Junction_JCateOf,jc0
j1454,Junction_JCateOf,jc0
229-224@627-s8r-9vf,POI_BrandOf,SG_BRAND_71ad970d8cd5e1ab
22r-222@627-s8j-94v,POI_BrandOf,SG_BRAND_10299982b2ff662abed058f75f3cc3a5
zzy-226@627-s8q-zzz,POI_BrandOf,SG_BRAND_eaee99c7f3d6f11167b344cf366ad7ae
226-222@627-wc9-nyv,POI_BrandOf,SG_BRAND_c7706c9b14f2ca266c2a309dba059031
zzy-22d@627-s8j-6zf,POI_BrandOf,SG_BRAND_81812085fa0e0a6d
j87,Junction_RegionOf,mhtr82
j784,Junction_RegionOf,mhtr130
j954,Junction_RegionOf,mhtr83
j1293,Junction_RegionOf,mhtr156
j2110,Junction_RegionOf,mhtr20
r191720,Road_RegionOf,mhtr56
r191719,Road_RegionOf,mhtr155
r191719,Road_RegionOf,mhtr174
r191718,Road_RegionOf,mhtr155
r191717,Road_RegionOf,mhtr140
r142154,Road_RCateOf,rt6
r142153,Road_RCateOf,rt6
r142152,Road_RCateOf,rt6
r142151,Road_RCateOf,rt6
r142150,Road_RCateOf,rt6